Transaction Date,Value Date,Narration,Reference,Debit (NGN),Credit (NGN),Balance (NGN),Channel,Card Type,Terminal ID,PAN (masked)
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/SPAR SUPERMARKET/510813098126,510813098126,,109805.97,,CARD,MASTERCARD,TRM93010310,411111******0983
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/ZENITH BANK ATM/560385447606,560385447606,,166399.89,,CARD,MASTERCARD,TRM69957773,539900******0443
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/TANTALIZERS RESTAURANT/390853813771,390853813771,,242986.08,,CARD,MASTERCARD,TRM80957015,506100******2528
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/ZENITH BANK ATM/875427216652,875427216652,,75978.03,,CARD,MASTERCARD,TRM24493534,411111******4118
2025-06-12,2025-06-12,CARD SETTLEMENT/MASTERCARD/CHICKEN REPUBLIC ABUJA/755272824750,755272824750,,24311.75,,CARD,MASTERCARD,TRM76438156,506100******7679
2025-06-15,2025-06-15,CHARGEBACK/VERVE/SHOPRITE IKEJA/461777974575,CB461777974575,117283.44,,,CARD,VERVE,TRM05395024,411111******2102
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/GTBANK ATM WITHDRAWAL/976000808135,976000808135,,184122.38,,CARD,VISA,TRM20037917,411111******3433
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/KONGA MARKETPLACE/358156110078,358156110078,,95650.39,,CARD,VISA,TRM74395339,539900******0909
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/ZENITH BANK ATM/199002427407,199002427407,,158753.97,,CARD,VERVE,TRM01128059,539900******7868
2025-06-10,2025-06-10,CARD SETTLEMENT/MASTERCARD/SPAR SUPERMARKET/562747155483,562747155483,,81282.40,,CARD,MASTERCARD,TRM90847007,411111******1783
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/SPAR SUPERMARKET/354017756402,354017756402,,115556.90,,CARD,MASTERCARD,TRM94647436,539900******2175
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/INTERSWITCH WEBPAY/395585753511,395585753511,,144273.62,,CARD,MASTERCARD,TRM56551256,506100******6717
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/TOTAL FILLING STATION/605645347792,605645347792,,134288.91,,CARD,MASTERCARD,TRM41316475,539900******3103
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/INTERSWITCH WEBPAY/442576940326,442576940326,,73879.93,,CARD,MASTERCARD,TRM36675254,539900******2018
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/JUMIA ONLINE/718423289092,718423289092,,149065.35,,CARD,MASTERCARD,TRM48734714,539900******7743
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/SLOT SYSTEMS IKEJA/700012621964,700012621964,,105170.20,,CARD,VERVE,TRM11615594,539900******4235
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/LAPO AGENT BANKING/705824576198,705824576198,,73388.09,,CARD,VISA,TRM04711671,506100******7752
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/KONGA MARKETPLACE/268417430757,268417430757,,53225.43,,CARD,VISA,TRM99809402,506100******9368
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/ZENITH BANK ATM/893519162349,893519162349,,386060.68,,CARD,MASTERCARD,TRM56232858,506100******5214
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/SLOT SYSTEMS IKEJA/298964420838,298964420838,,122143.71,,CARD,VERVE,TRM36783777,539900******0831
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/TOTAL FILLING STATION/230204286982,230204286982,,185848.83,,CARD,MASTERCARD,TRM34352408,411111******8941
2025-06-15,2025-06-15,CHARGEBACK/MASTERCARD/SPAR SUPERMARKET/562747155483,CB562747155483,81282.40,,,CARD,MASTERCARD,TRM90847007,411111******1783
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/CHICKEN REPUBLIC ABUJA/446680801999,446680801999,,53550.32,,CARD,VERVE,TRM69653287,539900******8849
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/QUICKTELLER AIRTIME/312925885194,312925885194,,179727.31,,CARD,VISA,TRM70831727,539900******6328
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/INTERSWITCH WEBPAY/422522208302,422522208302,,55788.30,,CARD,VERVE,TRM55744431,411111******8568
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/TOTAL FILLING STATION/223957493142,223957493142,,38633.91,,CARD,MASTERCARD,TRM01845146,506100******7848
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/CHICKEN REPUBLIC ABUJA/209221874441,209221874441,,63861.50,,CARD,VERVE,TRM15654527,506100******5766
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/SPAR SUPERMARKET/588017414546,588017414546,,190117.64,,CARD,VERVE,TRM24808613,506100******1093
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/INTERSWITCH WEBPAY/151960122341,151960122341,,163210.15,,CARD,VISA,TRM26064746,411111******7360
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/CHICKEN REPUBLIC ABUJA/358115474225,358115474225,,444757.06,,CARD,VISA,TRM40537735,539900******1796
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/QUICKTELLER AIRTIME/876353311207,876353311207,,54874.36,,CARD,VISA,TRM14341036,411111******8986
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/CHICKEN REPUBLIC ABUJA/448079814698,448079814698,,186303.94,,CARD,MASTERCARD,TRM71870262,411111******8951
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/INTERSWITCH WEBPAY/223005401501,223005401501,,6740.18,,CARD,VISA,TRM13389083,539900******9600
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/LAPO AGENT BANKING/698578145774,698578145774,,451831.14,,CARD,VERVE,TRM53293183,506100******3900
2025-06-15,2025-06-15,CARD SETTLEMENT/VISA/KONGA MARKETPLACE/770273585360,770273585360,,240047.14,,CARD,VISA,TRM06797403,506100******2812
2025-06-15,2025-06-15,CARD SETTLEMENT/MASTERCARD/SLOT SYSTEMS IKEJA/911164978375,911164978375,,202781.95,,CARD,MASTERCARD,TRM33036541,539900******3754
2025-06-15,2025-06-15,CARD SETTLEMENT/VERVE/INTERSWITCH WEBPAY/212712179857,212712179857,,174449.65,,CARD,VERVE,TRM50671657,539900******6518
