Settlement Date,Transaction Date,RRN,STAN,Terminal ID,Merchant Name,Card Type,PAN,Transaction Amount (NGN),Settlement Amount (NGN),Interchange Fee (NGN),Scheme Fee (NGN),Net Settlement (NGN),Response Code,Transaction Type,Batch Number
2025-06-16,2025-06-15,358115474225,437145,TRM40537735,CHICKEN REPUBLIC ABUJA,VISA,539900******1796,444757.06,444757.06,2827.16,0.00,441929.90,00,PURCHASE,8792
2025-06-16,2025-06-15,875427216652,192410,TRM24493534,ZENITH BANK ATM,MASTERCARD,411111******4118,75978.03,75978.03,0.00,0.00,75978.03,00,PURCHASE,8155
2025-06-16,2025-06-15,810836625307,505341,TRM65905151,ZENITH BANK ATM,VISA,506100******5546,23189.39,23189.39,0.00,0.00,23189.39,00,PURCHASE,5655
2025-06-16,2025-06-15,876353311207,579318,TRM14341036,QUICKTELLER AIRTIME,VISA,411111******8986,54874.36,54874.36,0.00,0.00,54874.36,00,PURCHASE,2029
2025-06-16,2025-06-15,963268767101,440544,TRM00978820,ZENITH BANK ATM,VERVE,411111******9805,139164.20,139164.20,0.00,0.00,139164.20,00,PURCHASE,3815
2025-06-16,2025-06-15,605645347792,624563,TRM41316475,TOTAL FILLING STATION,MASTERCARD,539900******3103,134288.91,134288.91,0.00,0.00,134288.91,00,PURCHASE,6802
2025-06-16,2025-06-15,734648396163,656379,TRM46706562,SPAR SUPERMARKET,MASTERCARD,506100******9373,95405.07,95405.07,0.00,0.00,95405.07,00,PURCHASE,9355
2025-06-16,2025-06-15,510813098126,701253,TRM93010310,SPAR SUPERMARKET,MASTERCARD,411111******0983,109805.97,109805.97,0.00,0.00,109805.97,00,PURCHASE,7626
2025-06-16,2025-06-15,358156110078,744883,TRM74395339,KONGA MARKETPLACE,VISA,539900******0909,95650.39,95650.39,0.00,0.00,95650.39,00,PURCHASE,9307
2025-06-16,2025-06-15,212712179857,253557,TRM50671657,INTERSWITCH WEBPAY,VERVE,539900******6518,174449.65,174449.65,0.00,0.00,174449.65,00,PURCHASE,5193
2025-06-16,2025-06-15,698578145774,625721,TRM53293183,LAPO AGENT BANKING,VERVE,506100******3900,451831.14,451831.14,5172.68,0.00,446658.46,00,PURCHASE,3471
2025-06-16,2025-06-15,700012621964,837852,TRM11615594,SLOT SYSTEMS IKEJA,VERVE,539900******4235,105170.20,105170.20,0.00,0.00,105170.20,00,PURCHASE,4770
2025-06-11,2025-06-10,853450108054,849014,TRM98569847,ZENITH BANK ATM,VISA,411111******1249,20654.47,20654.47,0.00,0.00,20654.47,00,PURCHASE,2381
2025-06-16,2025-06-15,395585753511,563688,TRM56551256,INTERSWITCH WEBPAY,MASTERCARD,506100******6717,144273.62,144273.62,0.00,0.00,144273.62,00,PURCHASE,5961
2025-06-16,2025-06-15,243433808038,972442,TRM38425135,KONGA MARKETPLACE,VERVE,539900******9118,168086.71,168086.71,0.00,0.00,168086.71,00,PURCHASE,6928
2025-06-16,2025-06-15,718966589553,347745,TRM04966319,INTERSWITCH WEBPAY,VISA,539900******2419,236965.38,236965.38,0.00,0.00,236965.38,00,PURCHASE,2684
2025-06-16,2025-06-15,705824576198,586490,TRM04711671,LAPO AGENT BANKING,VISA,506100******7752,73388.09,73388.09,0.00,0.00,73388.09,00,PURCHASE,8354
2025-06-16,2025-06-15,305519951312,940247,TRM69985435,JUMIA ONLINE,MASTERCARD,506100******9091,17596.07,17596.07,0.00,0.00,17596.07,00,PURCHASE,8538
2025-06-16,2025-06-15,976000808135,332335,TRM20037917,GTBANK ATM WITHDRAWAL,VISA,411111******3433,184122.38,184122.38,0.00,0.00,184122.38,00,PURCHASE,6456
2025-06-16,2025-06-15,298964420838,731661,TRM36783777,SLOT SYSTEMS IKEJA,VERVE,539900******0831,122143.71,122143.71,0.00,0.00,122143.71,00,PURCHASE,3504
2025-06-11,2025-06-10,461777974575,164879,TRM05395024,SHOPRITE IKEJA,VERVE,411111******2102,117283.44,117283.44,0.00,0.00,117283.44,00,PURCHASE,8381
2025-06-16,2025-06-15,805882797681,649414,TRM96556981,GTBANK ATM WITHDRAWAL,VISA,411111******9401,127596.72,127596.72,0.00,0.00,127596.72,00,PURCHASE,2288
2025-06-16,2025-06-15,827087359039,935012,TRM87603859,SLOT SYSTEMS IKEJA,MASTERCARD,411111******1680,236325.79,236325.79,0.00,0.00,236325.79,00,PURCHASE,5500
2025-06-16,2025-06-15,770273585360,757685,TRM06797403,KONGA MARKETPLACE,VISA,506100******2812,240047.14,240047.14,0.00,0.00,240047.14,00,PURCHASE,6179
2025-06-16,2025-06-15,809174117091,469038,TRM63982146,DOMINOS PIZZA LEKKI,VISA,539900******3782,208119.72,208119.72,0.00,0.00,208119.72,00,PURCHASE,9312
2025-06-16,2025-06-15,876353311207,216242,TRM14341036,QUICKTELLER AIRTIME,VISA,411111******8986,54874.36,54874.36,0.00,0.00,54874.36,00,PURCHASE,9189
2025-06-16,2025-06-15,379989256365,514991,TRM14846564,ZENITH BANK ATM,VERVE,539900******1595,11574.44,11574.44,0.00,0.00,11574.44,00,PURCHASE,6083
2025-06-16,2025-06-15,911164978375,717476,TRM33036541,SLOT SYSTEMS IKEJA,MASTERCARD,539900******3754,202781.95,202781.95,0.00,0.00,202781.95,00,PURCHASE,7560
2025-06-16,2025-06-15,597428952800,829884,TRM05152204,TANTALIZERS RESTAURANT,MASTERCARD,506100******6153,267696.34,267696.34,4015.45,0.00,263680.89,00,PURCHASE,3273
2025-06-16,2025-06-15,390650490584,571579,TRM74612004,ACCESS BANK POS,VERVE,539900******5931,296434.44,296434.44,3920.10,0.00,292514.34,00,PURCHASE,4084
2025-06-16,2025-06-15,870013412146,258290,TRM21024994,ACCESS BANK POS,VERVE,506100******8324,214971.88,214971.88,0.00,0.00,214971.88,00,PURCHASE,8205
2025-06-16,2025-06-15,893519162349,503159,TRM56232858,ZENITH BANK ATM,MASTERCARD,506100******5214,386060.68,386060.68,4558.82,0.00,381501.86,00,PURCHASE,8581
2025-06-16,2025-06-12,755272824750,725726,TRM76438156,CHICKEN REPUBLIC ABUJA,MASTERCARD,506100******7679,24311.75,24311.75,0.00,0.00,24311.75,00,PURCHASE,9782
2025-06-16,2025-06-15,895651263417,543973,TRM14865281,QUICKTELLER AIRTIME,VISA,411111******4629,102633.25,102633.25,0.00,0.00,102633.25,00,PURCHASE,9331
2025-06-16,2025-06-15,223957493142,557409,TRM01845146,TOTAL FILLING STATION,MASTERCARD,506100******7848,38633.91,38633.91,0.00,0.00,38633.91,00,PURCHASE,1307
2025-06-16,2025-06-15,239284873367,355135,TRM32260256,SLOT SYSTEMS IKEJA,VISA,539900******8692,10936.30,10936.30,0.00,0.00,10936.30,00,PURCHASE,8138
2025-06-16,2025-06-15,422522208302,897143,TRM55744431,INTERSWITCH WEBPAY,VERVE,411111******8568,55788.30,55788.30,0.00,0.00,55788.30,00,PURCHASE,2234
2025-06-16,2025-06-15,118733909032,270128,TRM88805929,GTBANK ATM WITHDRAWAL,VERVE,506100******2141,45423.93,45423.93,0.00,0.00,45423.93,00,PURCHASE,3962
2025-06-16,2025-06-15,863779811221,915922,TRM83473597,ACCESS BANK POS,MASTERCARD,506100******9473,235907.39,235907.39,3538.61,0.00,232368.78,00,PURCHASE,7256
2025-06-16,2025-06-15,409248663017,177794,TRM67533963,SPAR SUPERMARKET,MASTERCARD,411111******5588,181649.72,181649.72,0.00,0.00,181649.72,00,PURCHASE,6085
2025-06-16,2025-06-15,295143931370,306854,TRM14737996,DOMINOS PIZZA LEKKI,VERVE,411111******9453,183581.93,183581.93,0.00,0.00,183581.93,00,PURCHASE,3842
2025-06-16,2025-06-15,151960122341,524707,TRM26064746,INTERSWITCH WEBPAY,VISA,411111******7360,163210.15,163210.15,0.00,0.00,163210.15,00,PURCHASE,1341
2025-06-16,2025-06-15,560385447606,882033,TRM69957773,ZENITH BANK ATM,MASTERCARD,539900******0443,166399.89,166399.89,0.00,0.00,166399.89,00,PURCHASE,6562
2025-06-16,2025-06-15,718423289092,180089,TRM48734714,JUMIA ONLINE,MASTERCARD,539900******7743,149065.35,149065.35,0.00,0.00,149065.35,00,PURCHASE,9363
2025-06-16,2025-06-15,925828823896,468154,TRM03309232,ACCESS BANK POS,VISA,539900******5310,237825.43,237825.43,0.00,0.00,237825.43,00,PURCHASE,3419
2025-06-16,2025-06-15,147368967775,486649,TRM22196937,TANTALIZERS RESTAURANT,VISA,506100******8692,81431.48,81431.48,0.00,0.00,81431.48,00,PURCHASE,5703
2025-06-16,2025-06-15,449334805176,763984,TRM87603669,INTERSWITCH WEBPAY,VERVE,506100******1665,223310.19,223310.19,0.00,0.00,223310.19,00,PURCHASE,2868
2025-06-11,2025-06-10,562747155483,208529,TRM90847007,SPAR SUPERMARKET,MASTERCARD,411111******1783,81282.40,81282.40,0.00,0.00,81282.40,00,PURCHASE,6626
2025-06-16,2025-06-15,241388354666,303322,TRM04653755,SLOT SYSTEMS IKEJA,MASTERCARD,411111******6272,245190.13,245190.13,0.00,0.00,245190.13,00,PURCHASE,6724
2025-06-16,2025-06-15,312925885194,916964,TRM70831727,QUICKTELLER AIRTIME,VISA,539900******6328,179727.31,179727.31,0.00,0.00,179727.31,00,PURCHASE,3754
2025-06-16,2025-06-15,283955479193,708519,TRM16048175,QUICKTELLER AIRTIME,VISA,539900******3685,135915.34,135915.34,1800.46,0.00,134114.88,00,PURCHASE,1672
2025-06-16,2025-06-15,161157982007,428267,TRM48963834,GTBANK ATM WITHDRAWAL,VISA,411111******2782,60597.46,60597.46,0.00,0.00,60597.46,00,PURCHASE,8033
2025-06-16,2025-06-15,230204286982,285751,TRM34352408,TOTAL FILLING STATION,MASTERCARD,411111******8941,185848.83,185848.83,0.00,0.00,185848.83,00,PURCHASE,9095
2025-06-16,2025-06-15,588017414546,720148,TRM24808613,SPAR SUPERMARKET,VERVE,506100******1093,190117.64,190117.64,0.00,0.00,190117.64,00,PURCHASE,1920
2025-06-16,2025-06-15,390853813771,582087,TRM80957015,TANTALIZERS RESTAURANT,MASTERCARD,506100******2528,242986.08,242986.08,0.00,0.00,242986.08,00,PURCHASE,2275
2025-06-16,2025-06-15,448079814698,584172,TRM71870262,CHICKEN REPUBLIC ABUJA,MASTERCARD,411111******8951,186303.94,186303.94,0.00,0.00,186303.94,00,PURCHASE,8404
2025-06-16,2025-06-15,158782859546,814220,TRM86774964,LAPO AGENT BANKING,VISA,411111******9993,38355.89,38355.89,0.00,0.00,38355.89,00,PURCHASE,6295
